action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
actions/github-script@f28e40c7f34bde8b3046d885e986cb6290c5673b,actions,sha,true,action,2,2
tj-actions/changed-files@24d32ffd492484c1d75e0c0b894501ddb9d30d62,tj-actions,sha,false,action,2,2
actions/setup-java@v5,actions,tag,true,action,1,2
./.github/workflows/semantic-versioning-poc.yaml,,local,true,reusable_workflow,2,2
dorny/paths-filter@v3,dorny,tag,false,action,2,2
aws-actions/amazon-ecr-login@f2e9fc6c2b355c1890b65e6f6f0e2ac3e6e22f78,aws-actions,sha,true,action,2,2
actions/upload-artifact@v6,actions,tag,true,action,1,2
actions/setup-node@49933ea5288caeca8642d1e84afbd3f7d6820020,actions,sha,true,action,2,2
terraform-linters/setup-tflint@v4,terraform-linters,tag,false,action,2,2
astral-sh/setup-uv@5a095e7a2014a4212f075830d4f7277575a9d098,astral-sh,sha,false,action,1,2
databricks/setup-cli@v0.299.2,databricks,tag,false,action,1,2
actions/setup-python@v5.1.0,actions,tag,true,action,1,2
actions/cache@0057852bfaa89a56745cba8c7296529d2fc39830,actions,sha,true,action,1,2
aws-actions/amazon-ecr-login@006813a119ae0fdeb70ae00f16cda21ee6f2ff3d,aws-actions,sha,true,action,2,2
actions/upload-artifact@v5,actions,tag,true,action,2,2
actions/upload-artifact@65c4c4a1ddee5b72f698fdd19549f0f0fb45cf08,actions,sha,true,action,1,2
actions/download-artifact@cc203385981b70ca67e1cc392babf9cc229d5806,actions,sha,true,action,1,2
astral-sh/setup-uv@caf0cab7a618c569241d31dcd442f54681755d39,astral-sh,sha,false,action,1,2
pnpm/action-setup@v4,pnpm,tag,false,action,1,2
pfizer-github-automation/sonar-scan-action@cb6da2f3879a331d7ba4a7c84ac425618f4b5939,pfizer-github-automation,sha,true,action,2,2
./.github/workflows/list-changes.yml,,local,true,reusable_workflow,1,2
aws-actions/configure-aws-credentials@v6.1.0,aws-actions,tag,true,action,1,2
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_code-scan.yml@e279fb0978aa88d18115ab45a766deae2e4f4978,pfizer-analytics,sha,true,reusable_workflow,1,2
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_tag-validation.yml@e279fb0978aa88d18115ab45a766deae2e4f4978,pfizer-analytics,sha,true,reusable_workflow,1,2
aquasecurity/trivy-action@0.35.0,aquasecurity,tag,false,action,1,2
aws-actions/configure-aws-credentials@ff717079ee2060e4bcee96c4779b553acc87447c,aws-actions,sha,true,action,1,2
aws-actions/amazon-ecr-login@d539f0932e70871a027e9d5a9d8fc38589180a64,aws-actions,sha,true,action,1,2
aws-actions/amazon-ecs-render-task-definition@6853cfae8c3a7d978fbf68b5a55453395541dfbb,aws-actions,sha,true,action,1,2
aws-actions/amazon-ecs-deploy-task-definition@a310a830f5c14e583e35d84e4e1ec7dd177c3c9c,aws-actions,sha,true,action,1,2
trstringer/manual-approval@74d99dff7380e3e4b122d4ededcbca2b6ce59367,trstringer,sha,false,action,1,1
./,,local,true,action,1,1
pfizer-analytics/atp-rdm-dev/.github/workflows/api-ci.yml@master,pfizer-analytics,branch,true,reusable_workflow,1,1
pfizer-analytics/atp-rdm-dev/.github/workflows/ui-ci.yml@master,pfizer-analytics,branch,true,reusable_workflow,1,1
mickem/clean-after-action@v1,mickem,tag,false,action,1,1
microsoft/variable-substitution@v1,microsoft,tag,true,action,1,1
phips28/gh-action-bump-version@master,phips28,branch,false,action,1,1
actions/upload-artifact@v1,actions,tag,true,action,1,1
sonarsource/sonarqube-quality-gate-action@v1,sonarsource,tag,true,action,1,1
stefanzweifel/git-auto-commit-action@v4,stefanzweifel,tag,false,action,1,1
step-security/changed-files@v45,step-security,tag,false,action,1,1
./.github/actions/deploy-cfn-stack,,local,true,action,1,1
aws-actions/aws-cloudformation-github-deploy@33527b83bddcf6b3f0b135d9550bde8475325c73,aws-actions,sha,true,action,1,1
pfizer-analytics/vessel-rfc-automation/.github/actions/rfc-attach@main,pfizer-analytics,branch,true,action,1,1
./.github/actions/create-rc-tag,,local,true,action,1,1
./.github/actions/create-release,,local,true,action,1,1
actions/download-artifact@v4.1.0,actions,tag,true,action,1,1
aws-actions/aws-cloudformation-github-deploy@v1.0.4,aws-actions,tag,true,action,1,1
./.github/workflows/ethicara-metrics-build.yaml,,local,true,reusable_workflow,1,1
./.github/workflows/ethicara-metrics-deploy.yaml,,local,true,reusable_workflow,1,1
./.github/workflows/ethicara-metrics-worker-build.yaml,,local,true,reusable_workflow,1,1
./.github/workflows/ethicara-metrics-worker-deploy.yaml,,local,true,reusable_workflow,1,1
astral-sh/setup-uv@6b9c6063abd6010835644d4c2e1bef4cf5cd0fca,astral-sh,sha,false,action,1,1
oasdiff/oasdiff-action/breaking@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,false,action,1,1
oasdiff/oasdiff-action/changelog@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,false,action,1,1
oasdiff/oasdiff-action/diff@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,false,action,1,1
peter-evans/create-or-update-comment@71345be0265236311c031f5c7866368bd1eff043,peter-evans,sha,false,action,1,1
./.github/workflows/_build.yaml,,local,true,reusable_workflow,1,1
./.github/workflows/_deploy.yaml,,local,true,reusable_workflow,1,1
./.github/workflows/_test-and-release.yaml,,local,true,reusable_workflow,1,1
peaceiris/actions-gh-pages@v3,peaceiris,tag,false,action,1,1
pfizer-analytics/github-actions-poc/actions/create-runner@v1,pfizer-analytics,tag,true,action,1,1
